,time,username,longitude,latitude,text,sentiment,marker_color
315,2020-04-12,Kay Neidhardt im Office@Dahoam,12.29723,47.90947,"Mohn-Eierlikör-Torte.
Vom hofcafeutz.
Einfach nur fantastisch. 
Vielen Dank 💖 

#eierlikör #eierlikörtorte #ostern #osterkuchen #stayathome #regionaleinkaufen #kaffee @ Bad Endorf https://t.co/qefpaC3XdR",0.2125,lime
316,2020-04-12,startupbegleitung,8.74715,49.82929,"F R O H E   O S T E R N - Ich wünsche euch ein gesegnetes Osterfest. Bleibt gesund.
.
#stayathome #easter #ostern #startupbegleitung #herzensgüterberatung #gründerinnen #gründer #startups #organisationsentwicklung… https://t.co/nSvfJyxcGD",0.25,lime
317,2020-04-12,Nur Rap,12.3771,51.3396,"⁣Heute ab 17 Uhr auf Twitch: DJ D.FENZ steht an den Decks um #DJING in seiner reinsten Form zu zelebrieren - wird wild!⠀
⠀
#StayAtHome #WirbleibenzuHause @ Leipzig, Germany https://t.co/7pRn3N1Wrz",-0.15000000000000002,yellow
318,2020-04-12,Tina Loeffler,9.77059672,50.99206228,"#stayhealthy #stayathome #staystrong 🐰🐣🐇 @ Lispenhausen, Hessen, Germany https://t.co/HXKuXLODct",0.0,yellow
319,2020-04-12,Martin 🇪🇺,9.86667,53.2833,"*tüftel*tüftel* #familytime #stayathome @ Holm Seppensen, Niedersachsen, Germany https://t.co/UTKWWhyO7q",0.0,yellow
320,2020-04-12,Guido @ work,7.33675164,50.68810636,"Bird is the Word 😂 #bird #nature #natur #nrw #königswinter #siebengebirge #eudenbach #picoftheday #happyeaster #sunday #sunny #sunnyday #stayhome #stayathome #stayhealthy #ostern @ Eudenbach, Nordrhein-Westfalen,… https://t.co/TG39ab7xUD",0.0,yellow
321,2020-04-12,Darkmoon,7.51207846,49.93097104,"Frohe Ostern 

I don’t know ob heute Ostern ist oder gestern oder morgen oder ob mein Gehirn 🧠 wieder Flügel bekommen hat ansonsten Häschen 🐰 Time 🎉🥳 
#bunny #bunnylove #germany #happytime 🐰🐰#stayathome #stayhome… https://t.co/G7iCnjLnNA",1.0,green
322,2020-04-12,Coffee Pirates,7.00215,51.42609,"Die Coffee Pirates wünschen Euch schöne Ostertage! Genießt es, bleibt zuhause und gesund! Wir sind am Dienstag wieder für Euch da! #coffeepirates #supportyourlocal #stayathome #coffee #coffeeroaster #kaffeerösterei… https://t.co/2WZFvbeQOy",0.5,lime
323,2020-04-12,Holger Kueck,8.8085,53.0763,"Schöne Ostertage euch allen, bleibt gesund...happy easter to all,  stay healthy...🍀😊...#instagram #instadaily #bremen #stayathome #instalove #instacool ##instapic #instagood @ Bremen, Germany https://t.co/P8rMwATs2J",1.0,green
324,2020-04-12,Dr. Teichgräber,10.16483125,54.45785674,"Frohe Ostern 🐣 #Ostern #stayathome #strande #socialdistancing #osteomedicum #dontpanic #allwayslookonthebrightsideoflife @ Altbülk, Schleswig-Holstein, Germany https://t.co/4h5X8Opt5z",1.0,green
325,2020-04-12,Bündnis90/Die Grünen Alsdorf,6.1602,50.87453,"Euch und euren Lieben Frohe Ostern 💚🌻!

Der Virus kennt keine Feiertage. Und unsere Herzen keine Kontaktsperre. 🐰 #stayathome

#ostern #wirbleibenzuhause #hoffnungsvoll #nächstesjahrwieder #alsdorf #grünesalsdorf… https://t.co/OfbLLpregS",0.5,lime
326,2020-04-12,Jochen Hencke,12.99431,47.2304,"Ein frühlingshafter Oster-Gruß an euch alle. Bleibt schön gesund und viel Spaß beim Eiersuchen. 💐☀️🥰😍 #StayAtHome #FlattenTheCurve⠀

#rauris #austria #österreich #salzburgerland #blumen #landschaftsfotografie… https://t.co/Z6mBgaZDo7",0.16666666666666666,yellow
327,2020-04-12,Hannes Hartung,11.48339815,48.02035109,"#frohe #Ostern #happy #easter from Baierbrunn #stayathome #behappy #familytime @ Baierbrun, Bayern, Germany https://t.co/Wj5wntHlqc",1.0,green
328,2020-04-12,COWBOYSuHSV (🏡)🎗✮,7.60957,52.09195,"... läuft bei uns 🍽️☕ 

#Ostern2020 🐣 
#StayAtHome @ Greven, Germany https://t.co/nVtuRV4nj5",0.0,yellow
329,2020-04-12,Alejandro Marcos,13.401251,52.518391,"#stayathome #staysafe #alejandromarcosphoto #alejandromarcos #home #night #colors en Berlin, Germany https://t.co/Q2zhVtdXS5",0.0,yellow
330,2020-04-12,cub🌍ruhr 🌱,7.08365161,51.38836555,"Sensation: Foto vom #Osterhasen geschossen … 😘 #froheostern #kupferdreh #essen #ruhrpott #ruhrgebiet #onelove #stayathome #happyeaster #inflagranti @ Kupferdreh, Nordrhein-Westfalen, Germany https://t.co/ZT1QNdBq6L",0.0,yellow
331,2020-04-12,Konstantin Melchger,10.0,51.0,"Habe die Alkoholfarben von
skinillustratorofficial getestet #alchemy #easter #ostern #stayathome #keepthedistance #skinillustrator #alcoholink #airbrush #splatter #maskeberlin #maskenbildner #spfx #paint @ Germany https://t.co/TwKdIPKEZu",0.0,yellow
332,2020-04-12,TV Bad Grönenbach,10.22117855,47.87513813,Die Fußballabteilung wünscht Euch allen Frohe Ostern und bleibt #gesund ! Hoffentlich sieht man sich in absehbarer Zeit wieder auf dem #kickplatz 💪🏼💪🏼🤟🤟💚💚💚💚 #ostern #stayathome #leider #bezirksliga #aklasse… https://t.co/RDpTzHib7Y,0.5,lime
333,2020-04-12,Marcel Graf,10.0,51.0,Ich wünsche Euch allen frohe Ostern. #bleibtgesund #stayathome #ostern #ostern2020 #happyeaster #osterhase @ Germany https://t.co/JoHua6TKH1,0.5,lime
334,2020-04-12,Mosbacher Fußballverein 1919 e.V.,9.1508,49.36293,"🐇🐰🐣Frohe Ostern 🐇🐰🐣 

Wir wünschen allen Mitgliedern, Freunden, Partnern und Sponsoren des MFV frohe Ostertage. Bleibt gesund!

#mfv1919 #schwarzweiss #100jahremfv #froheostern #ostern2020 #bleibtgesund #stayathome @… https://t.co/sifcTeQxNG",0.6666666666666666,green
335,2020-04-12,locke,9.8532,52.3898,"#froheostern wünsche ich Euch allen! #stayathome @ Misburg, Niedersachsen, Germany https://t.co/57plrDWaGX",0.0,yellow
336,2020-04-12,Stephan Grysczyk,10.99657438,49.46171747,#igernürnberg #igersfuerth #igersfranconia #igersnuernberg #igersfranconia #fürth #homeoffice #stayathome #wirliebenfürth #wirbleibenzuhause #kirche #turm #glockenturm #homeoffice #Südstadt Die letzte Kirche auf der… https://t.co/yn8Cs5STsv,0.0,yellow
337,2020-04-11,Mountainbatchers,12.13556,48.21982,"Wir wünschen allen nah und fern ein schönes Osterfest, lasst euch vom Corona nicht unterkriegen. Feiert schön und habt ein paar schöne Stunden miteinander. Bleibt gesund.

#froheostern #froheostern🐰 #stayathome… https://t.co/Rugf0I0AtK",0.75,green
338,2020-04-11,📺🔋OSTLERJOHN🔋📺,13.52009151,52.50896596,"Mir Fällt nix ein 🤷🏼‍♂️🤷🏼‍♂️
.
.
.
.
.
.
#wirbleibenzuhause #corona #coronavirus #covid #virus #stayathome #selfie #berlin🇩🇪 #pankow #schutz #schutzmaske @ Zuhause in Berlin https://t.co/D7oDQMgYRs",0.0,yellow
339,2020-04-11,Global Designs,10.8453199,48.26914,"#stayathome #coronatime Frohe Ostern allseits und bleibt gesund.

#instagood #insta #follow4follow #follow4like #followforfollow #followforlike #globaldesigns #messebau #münchen #bobingen bei #augsburg #likeus… https://t.co/0BMWI2cMTk",0.5,lime
340,2020-04-11,#iichfindgeilwasichtue,9.54403,52.11687,"Osterfeuer 2020 

#osterfeuer2020 #diepolizeiistauchdabei #stayathome #eastern #eastern2020 #corona #corvid19 #wirbleibenzuhause #ichfindgeilwasichtue @ Castelum Cobbanbrug https://t.co/SZ6VjOnqSh",0.0,yellow
341,2020-04-11,Running Danny 🇨🇭,8.05,47.2333,"Osterfeuer #stayathome @ Winikon, Switzerland https://t.co/2nwStnIEXX",0.0,yellow
342,2020-04-11,Ingo Nolte,11.0333,50.9833,"heute selbstgemachte Empanadas satt ... ein bisschen Colombia in Erfurt 🇨🇴🧔🏽🤙🏽 
—————— 
#stayathome #stayhome #erfurt #columbia #kolumbien #empanadas #empanadascolombianas @ Erfurt, Germany https://t.co/YvEmZchxPD",0.7,green
343,2020-04-11,Ralph 【ツ】,7.44764,51.7713,"#stayathome #wirbleibenzuhause und genießen den Abend @ Lüdinghausen, Nordrhein-Westfalen, Germany https://t.co/JwC4AJq3El",0.0,yellow
344,2020-04-11,Marc,9.74368,47.5038,Sunset over Bregenz #sunset #bregenz #vorarlberg #austria #sun #red #orange #gradient #horizon #stayathome #flattenthecurve @ Bregenz https://t.co/GZYT8dnOMI,0.0,yellow
345,2020-04-11,Robert James Perkins,11.5833,48.15,Frohe Ostern und #stayathome damit wir bald wieder feiern und Party machen können... 🤘🏻😁👍🏻😎 https://t.co/vky4EMJXjQ #089DJ #perkins #djmünchen #smile #eventdj #djservice #münchen #wedding #hochzeit #munich #tbt… https://t.co/kwywbhgm1Y,0.85,green
346,2020-04-11,fotoshooting-koblenz,7.50102376,50.28965504,"Es blüht...
#stayathome #fotoshootingkoblenz #fotovontim #kannmansomachen #nieohnemeinekamera 
franzi.rj @ Dieblich https://t.co/6IHMiUBHL5",0.0,yellow
347,2020-04-11,Matthias Weigel,12.1020879,48.98432052,"102/366 - Verlängert die Ausgangsbeschränkungen, wir sind bereit. #mat2020366 #mat2020366102 #regensburg #oberisling #giordanovini #prosecco #sekt #stayathome @ Oberisling, Bayern, Germany https://t.co/jOeM2Mt77K",0.0,yellow
348,2020-04-11,Timo,11.0833,49.45,"lecker Abendessen, morgen wird aber Lamm bestellt. #stayathome #ostern @ Nuremberg https://t.co/fKGJEDA9yU",0.0,yellow
349,2020-04-11,Ralph 【ツ】,7.44764,51.7713,"A day in oure #garden

#stayathome #wirbleibenzuhause #unsgehtsgut @ Lüdinghausen, Nordrhein-Westfalen, Germany https://t.co/yXvkJFNxy0",0.0,yellow
350,2020-04-11,titon g,8.52817497,47.37088514,"#stayathome #stayhealthy #staysafe #stayyoung #staypositive #staystrong #staybeautiful #züri #zweizüri #zurizky #zurifky #starkejunge #züribrothers #züribrüder #brotherhood😎 @ Zürich, Swiss https://t.co/2zhRIp19J4",0.0,yellow
351,2020-04-11,Jochen Hencke,12.99431,47.2304,"Der Schnee zieht sich langsam immer weiter zurück. 👋🏻😘🌤⛄️🔥💐🏔 #StayAtHome #FlattenTheCurve⠀

#rauris #austria #österreich #salzburgerland #landscape #landschaftsfotografie #landscapelovers #naturelovers… https://t.co/18VARO0n6s",-0.35,orange
352,2020-04-11,IzemI,104.05083,1.13961,"Remember use ür 😷
#stayathome
#keepoptimist @ Sungai Panas (vattendrag i Indonesien, Kepulauan Riau) https://t.co/0tmrsR3bzo",0.0,yellow
